national_candidate_id,name,city,region,source_ministries,presence_confidence,identity_confidence,official_verification,publication_readiness,matching_decision,existing_establishment_id,in_fresh_final_lot,in_approved_snapshot,blocking_reasons
NAT-EST-2b083f50-6673-4299-9be7-116ad299f03f,Institut Supérieur d’Agronomie (ISA),,EST,MINESUP,STRONG_DOCUMENTARY,RESOLVED,OFFICIALLY_VERIFIED,ALREADY_LIVE,EXACT_IDENTIFIER,2b083f50-6673-4299-9be7-116ad299f03f,false,false,
NAT-EST-e4b6e83d-5e30-464f-889a-b217f12b462e,Institut Supérieur Fondation Mamadou Bako,,Nord,MINESUP,STRONG_DOCUMENTARY,RESOLVED,OFFICIALLY_VERIFIED,ALREADY_LIVE,EXACT_IDENTIFIER,e4b6e83d-5e30-464f-889a-b217f12b462e,false,false,
NAT-EST-ecd9f4c8-0ed5-49d7-ac32-af12ca7a1758,Institut Supérieur des Technologies et de l’Innovation,,Centre,MINESUP,STRONG_DOCUMENTARY,RESOLVED,OFFICIALLY_VERIFIED,ALREADY_LIVE,EXACT_IDENTIFIER,ecd9f4c8-0ed5-49d7-ac32-af12ca7a1758,false,false,
NAT-EST-5e68371f-ec1c-4299-9876-0e92048fdb63,Institut Supérieur Islamique de Foumban (ISIF),Kouga,Ouest,MINESUP,STRONG_DOCUMENTARY,RESOLVED,OFFICIALLY_VERIFIED,ALREADY_LIVE,EXACT_IDENTIFIER,5e68371f-ec1c-4299-9876-0e92048fdb63,false,false,
NAT-EST-251b0eb7-35ff-4e42-ae4d-8a7ea13413a8,Horti-Florale Institute (HFI),Buea,Sud-Ouest,MINESUP,STRONG_DOCUMENTARY,RESOLVED,OFFICIALLY_VERIFIED,ALREADY_LIVE,EXACT_IDENTIFIER,251b0eb7-35ff-4e42-ae4d-8a7ea13413a8,false,false,
NAT-EST-26d2c190-26a0-45dd-bce5-d555fb581828,Institut Supérieur des Techniques Agricoles d’Ombessa,Guintsing,Centre,MINESUP,STRONG_DOCUMENTARY,RESOLVED,OFFICIALLY_VERIFIED,ALREADY_LIVE,EXACT_IDENTIFIER,26d2c190-26a0-45dd-bce5-d555fb581828,false,false,
NAT-EST-a8fa62b6-65e3-4e31-ae10-1e8cf79e715d,Institut Supérieur d’Informatique et de la Communication (ISICOM),Logbessou,Littoral,MINESUP,STRONG_DOCUMENTARY,RESOLVED,OFFICIALLY_VERIFIED,ALREADY_LIVE,EXACT_IDENTIFIER,a8fa62b6-65e3-4e31-ae10-1e8cf79e715d,false,false,
NAT-EST-e143157f-6ad0-4f08-b453-49b3592d6e68,Institut Supérieur la Perle (ISLAPE),Yassa,Littoral,MINESUP,STRONG_DOCUMENTARY,RESOLVED,OFFICIALLY_VERIFIED,ALREADY_LIVE,EXACT_IDENTIFIER,e143157f-6ad0-4f08-b453-49b3592d6e68,false,false,
NAT-EST-2e3df645-0716-46a3-bac0-9c8161e63b83,Cameroon Bilingual Higher Institute (CBHI),&#8211;,Centre,MINESUP,STRONG_DOCUMENTARY,RESOLVED,OFFICIALLY_VERIFIED,ALREADY_LIVE,EXACT_IDENTIFIER,2e3df645-0716-46a3-bac0-9c8161e63b83,false,false,
NAT-EST-1e4acbae-072d-4407-8c91-7fec5c86d1e6,Biaka University Institute of Buea (BUIB),,Sud-Ouest,MINESUP,STRONG_DOCUMENTARY,RESOLVED,OFFICIALLY_VERIFIED,ALREADY_LIVE,EXACT_IDENTIFIER,1e4acbae-072d-4407-8c91-7fec5c86d1e6,false,false,
NAT-EST-2ad146c9-054a-4358-9a06-303bacdd401b,Institut panafricain pour le Développement (IPD),,Littoral,MINESUP,STRONG_DOCUMENTARY,RESOLVED,OFFICIALLY_VERIFIED,ALREADY_LIVE,EXACT_IDENTIFIER,2ad146c9-054a-4358-9a06-303bacdd401b,false,false,
NAT-EST-7a04ccbc-46b7-4ac3-8794-5d7fb7cbdbd7,Institut Supérieur de Technologies Appliquées (INSTAP),"Makepé, Carrefour Rhône Poulenc",Littoral,MINESUP,STRONG_DOCUMENTARY,RESOLVED,OFFICIALLY_VERIFIED,ALREADY_LIVE,EXACT_IDENTIFIER,7a04ccbc-46b7-4ac3-8794-5d7fb7cbdbd7,false,false,
NAT-EST-73c5833a-c84d-4031-93ff-2d33bc05bcce,Institut Supérieur Africain d’Enseignement Managérial et Technologique,Makepe,Littoral,MINESUP,STRONG_DOCUMENTARY,RESOLVED,OFFICIALLY_VERIFIED,ALREADY_LIVE,EXACT_IDENTIFIER,73c5833a-c84d-4031-93ff-2d33bc05bcce,false,false,
NAT-EST-61f2e11c-52ff-4075-9bd6-33c5e2ac4609,Fotabe Higher Institute (FHI),Buea,Sud-Ouest,MINESUP,STRONG_DOCUMENTARY,RESOLVED,OFFICIALLY_VERIFIED,ALREADY_LIVE,EXACT_IDENTIFIER,61f2e11c-52ff-4075-9bd6-33c5e2ac4609,false,false,
NAT-EST-3a874f94-090f-49a9-ab3b-6a8101712bd0,Institut Universitaires des Grandes Ecoles des Tropiques (IUGET),Bonamoussadi (Rond-point MAETUR),Littoral,MINESUP,STRONG_DOCUMENTARY,RESOLVED,OFFICIALLY_VERIFIED,ALREADY_LIVE,EXACT_IDENTIFIER,3a874f94-090f-49a9-ab3b-6a8101712bd0,false,false,
NAT-EST-6f1d9945-3b4b-45dd-861d-e070113ec814,DAJA Higher Institute (DHI),"Mt Carmel Junction. 1003 DAJA Avenue, Mile 18; Buea, SWR, Cameroon",Sud-Ouest,MINESUP,STRONG_DOCUMENTARY,RESOLVED,UNVERIFIED,ALREADY_LIVE,EXACT_IDENTIFIER,6f1d9945-3b4b-45dd-861d-e070113ec814,false,false,
NAT-EST-ef5d9cfc-eeea-4887-b9f0-3866b8259a0e,WALYA SUP,Guere,Nord,MINESUP,STRONG_DOCUMENTARY,RESOLVED,UNVERIFIED,ALREADY_LIVE,EXACT_IDENTIFIER,ef5d9cfc-eeea-4887-b9f0-3866b8259a0e,false,false,
NAT-EST-bedf499d-66e9-45e2-a53d-8fd2b8cb73c1,Jagora University,,Centre,MINESUP,STRONG_DOCUMENTARY,RESOLVED,UNVERIFIED,ALREADY_LIVE,EXACT_IDENTIFIER,bedf499d-66e9-45e2-a53d-8fd2b8cb73c1,false,false,
NAT-EST-57cab75a-b8b1-4d36-96a5-fffa6a1ea5ba,Institut Supérieur de Pétrochimie et d’Ingénierie Mathématique (ISPIM),Simbock,Centre,MINESUP,STRONG_DOCUMENTARY,RESOLVED,OFFICIALLY_VERIFIED,ALREADY_LIVE,EXACT_IDENTIFIER,57cab75a-b8b1-4d36-96a5-fffa6a1ea5ba,false,false,
NAT-EST-599227d2-23b8-4ca6-bb30-814858c2cdb3,Century Innovating Higher Institute (CINNOHI),"Douala / Bonapriso – Kuwait, below forêt bar Bois des singes",Littoral,MINESUP,STRONG_DOCUMENTARY,RESOLVED,UNVERIFIED,ALREADY_LIVE,EXACT_IDENTIFIER,599227d2-23b8-4ca6-bb30-814858c2cdb3,false,false,
NAT-EST-fd3b6ac7-4896-499d-9cdf-319e30459dea,Institut Supérieur Africain des Technologies de l'Information et de la Connaissance (ISATIC),Douala,Littoral,MINESUP,STRONG_DOCUMENTARY,RESOLVED,UNVERIFIED,ALREADY_LIVE,EXACT_IDENTIFIER,fd3b6ac7-4896-499d-9cdf-319e30459dea,false,false,
NAT-EST-e2c2476c-dfd6-405f-8975-cb440d2e8ea0,Gracious Higher Institute of Excellence (GRHIEX),"100 Gracious, Avenue Mount Carmel Junction Mile 18",Sud-Ouest,MINESUP,STRONG_DOCUMENTARY,RESOLVED,UNVERIFIED,ALREADY_LIVE,EXACT_IDENTIFIER,e2c2476c-dfd6-405f-8975-cb440d2e8ea0,false,false,
NAT-EST-5f7d9f40-d412-4df5-af82-0aa636790eae,STALWART HIGHER INSTITUTE (SHI),Feu rouge Bessengue,Littoral,MINESUP,STRONG_DOCUMENTARY,RESOLVED,OFFICIALLY_VERIFIED,ALREADY_LIVE,EXACT_IDENTIFIER,5f7d9f40-d412-4df5-af82-0aa636790eae,false,false,
NAT-EST-a2aaf363-a9a4-46c6-abab-bdbcac8cac70,Institut Supérieur d’Enseignement Managérial et Technologique,Cité verte monté Renault,Centre,MINESUP,STRONG_DOCUMENTARY,RESOLVED,OFFICIALLY_VERIFIED,ALREADY_LIVE,EXACT_IDENTIFIER,a2aaf363-a9a4-46c6-abab-bdbcac8cac70,false,false,
NAT-EST-832a1b35-56dc-4d58-8087-b8b25453ee41,H.O.P.E University  Institute (HUI) Limbe,,Sud-Ouest,MINESUP,STRONG_DOCUMENTARY,RESOLVED,OFFICIALLY_VERIFIED,ALREADY_LIVE,EXACT_IDENTIFIER,832a1b35-56dc-4d58-8087-b8b25453ee41,false,false,
NAT-EST-030dd885-d03c-4ea3-9b5c-c425b9a71750,Ecole Supérieure Spéciale d’Architecture du Cameroun (ESSACA),"Quartier Nylon, Bastos",Centre,MINESUP,STRONG_DOCUMENTARY,RESOLVED,UNVERIFIED,ALREADY_LIVE,EXACT_IDENTIFIER,030dd885-d03c-4ea3-9b5c-c425b9a71750,false,false,
NAT-EST-e48b7790-d7c5-412e-bf95-abb2d7fce876,Sabena Flight Academy Africa,,Littoral,MINESUP,STRONG_DOCUMENTARY,RESOLVED,OFFICIALLY_VERIFIED,ALREADY_LIVE,EXACT_IDENTIFIER,e48b7790-d7c5-412e-bf95-abb2d7fce876,false,false,
NAT-EST-4b2ca2ac-8da5-4bf9-95da-2d75482f6ac0,Groupe Tankou Enseignement Supérieur (GTES),Mairie rurale,Ouest,MINESUP,STRONG_DOCUMENTARY,RESOLVED,OFFICIALLY_VERIFIED,ALREADY_LIVE,EXACT_IDENTIFIER,4b2ca2ac-8da5-4bf9-95da-2d75482f6ac0,false,false,
