candidate_id,name,ministry,final_v1_classification
"MINESUP-E:Formulaire pour le Duplicata, Attestation de non délivrance de diplôme, Correction, Attestation de diplôme non éditée, Relevé échec non édité, Diplôme non édité, certification/Authentification : Formulaire","Formulaire pour le Duplicata, Attestation de non délivrance de diplôme, Correction, Attestation de diplôme non éditée, Relevé échec non édité, Diplôme non édité, certification/Authentification : Formulaire",MINESUP,DEFERRED_V2_DUPLICATE
"MINESUP-E:Gulf-Field Higher Institute of Petroleum, Mining, Business and Management Sciences (GFHIP)","Gulf-Field Higher Institute of Petroleum, Mining, Business and Management Sciences (GFHIP)",MINESUP,DEFERRED_V2_DUPLICATE
MINESUP-E:Heritage Higher Institute of Peace Development Studies (HEHIPEDS),Heritage Higher Institute of Peace Development Studies (HEHIPEDS),MINESUP,DEFERRED_V2_DUPLICATE
MINESUP-E:Higher Institute for Nursing and Technico-Sanitary Personals (HINTP),Higher Institute for Nursing and Technico-Sanitary Personals (HINTP),MINESUP,DEFERRED_V2_DUPLICATE
MINESUP-E:Higher Institute for Professionalism and Excellence (HIPTEX),Higher Institute for Professionalism and Excellence (HIPTEX),MINESUP,DEFERRED_V2_DUPLICATE
MINESUP-E:Higher Institute for Technology and Professional Studies (HITEPS),Higher Institute for Technology and Professional Studies (HITEPS),MINESUP,DEFERRED_V2_DUPLICATE
MINESUP-E:Higher Institute of Applied Medical Sciences Buea,Higher Institute of Applied Medical Sciences Buea,MINESUP,DEFERRED_V2_DUPLICATE
MINESUP-E:Higher Institute of Business,Higher Institute of Business,MINESUP,DEFERRED_V2_DUPLICATE
MINESUP-E:Higher Institute of Business and Management Studies (HIBMS),Higher Institute of Business and Management Studies (HIBMS),MINESUP,DEFERRED_V2_DUPLICATE
MINESUP-E:Higher Institute of Management Studies,Higher Institute of Management Studies,MINESUP,DEFERRED_V2_DUPLICATE
MINESUP-E:Higher Institute of Management and Entrepreneurship (HIME),Higher Institute of Management and Entrepreneurship (HIME),MINESUP,DEFERRED_V2_DUPLICATE
MINESUP-E:Higher Institute of Professional Excellence (HIPE),Higher Institute of Professional Excellence (HIPE),MINESUP,DEFERRED_V2_DUPLICATE
MINESUP-E:Higher Institute of Professional Studies and Career Development,Higher Institute of Professional Studies and Career Development,MINESUP,DEFERRED_V2_DUPLICATE
MINESUP-E:Higher Institute of Sciences and Technology (HIST),Higher Institute of Sciences and Technology (HIST),MINESUP,DEFERRED_V2_DUPLICATE
MINESUP-E:Higher Institute of Technology,Higher Institute of Technology,MINESUP,DEFERRED_V2_DUPLICATE
MINESUP-E:Higher Institute of Technology and Management Sciences (PAC-LAB HITMS),Higher Institute of Technology and Management Sciences (PAC-LAB HITMS),MINESUP,DEFERRED_V2_DUPLICATE
MINESUP-E:Higher Institute of technology and Management (CITEC HITM),Higher Institute of technology and Management (CITEC HITM),MINESUP,DEFERRED_V2_DUPLICATE
MINESUP-E:ISEC Higher Institute of Health and Human Services,ISEC Higher Institute of Health and Human Services,MINESUP,DEFERRED_V2_DUPLICATE
MINESUP-E:Impact Higher Institute of Leadership and International Development,Impact Higher Institute of Leadership and International Development,MINESUP,DEFERRED_V2_DUPLICATE
MINESUP-E:Information and Communication Technology University Institute (ICTU),Information and Communication Technology University Institute (ICTU),MINESUP,DEFERRED_V2_DUPLICATE
MINESUP-E:Institut Catholique Bonneau d’Ebolowa (ICABE),Institut Catholique Bonneau d’Ebolowa (ICABE),MINESUP,DEFERRED_V2_DUPLICATE
MINESUP-E:Institut Catholique de Bafoussam (ICAB),Institut Catholique de Bafoussam (ICAB),MINESUP,DEFERRED_V2_DUPLICATE
MINESUP-E:Institut Catholique de Yaoundé,Institut Catholique de Yaoundé,MINESUP,DEFERRED_V2_DUPLICATE
MINESUP-E:Institut Privé des Sciences de la Santé de Sangmelima (IPSSSA),Institut Privé des Sciences de la Santé de Sangmelima (IPSSSA),MINESUP,DEFERRED_V2_DUPLICATE
MINESUP-E:Institut Saint Jean,Institut Saint Jean,MINESUP,DEFERRED_V2_DUPLICATE
"MINESUP-E:Institut Supérieur Azimut de Commerce, de Technologie et de Santé","Institut Supérieur Azimut de Commerce, de Technologie et de Santé",MINESUP,DEFERRED_V2_DUPLICATE
MINESUP-E:Institut Supérieur Camille Chazeaud,Institut Supérieur Camille Chazeaud,MINESUP,DEFERRED_V2_SOURCE
MINESUP-E:Institut Supérieur Evangélique des Technologies et de Gestion (ISETAG),Institut Supérieur Evangélique des Technologies et de Gestion (ISETAG),MINESUP,DEFERRED_V2_DUPLICATE
MINESUP-E:Institut Supérieur Hintel,Institut Supérieur Hintel,MINESUP,DEFERRED_V2_SOURCE
MINESUP-E:Institut Supérieur Industriel et Commercial de Garoua,Institut Supérieur Industriel et Commercial de Garoua,MINESUP,DEFERRED_V2_DUPLICATE
MINESUP-E:Institut Supérieur Industriel et Commercial de Garoua (ISIC),Institut Supérieur Industriel et Commercial de Garoua (ISIC),MINESUP,DEFERRED_V2_DUPLICATE
MINESUP-E:Institut Supérieur Lead (ISL),Institut Supérieur Lead (ISL),MINESUP,DEFERRED_V2_SOURCE
MINESUP-E:Institut Supérieur Maritime et de Gestion (ISUMAG),Institut Supérieur Maritime et de Gestion (ISUMAG),MINESUP,DEFERRED_V2_DUPLICATE
MINESUP-E:Institut Supérieur Matamfen (ISMAT),Institut Supérieur Matamfen (ISMAT),MINESUP,DEFERRED_V2_SOURCE
MINESUP-E:Institut Supérieur Mony Keng (IMK),Institut Supérieur Mony Keng (IMK),MINESUP,DEFERRED_V2_SOURCE
MINESUP-E:Institut Supérieur Nyong et Sanaga (ISNS),Institut Supérieur Nyong et Sanaga (ISNS),MINESUP,DEFERRED_V2_SOURCE
MINESUP-E:Institut Supérieur Polytechnique,Institut Supérieur Polytechnique,MINESUP,DEFERRED_V2_SOURCE
MINESUP-E:Institut Supérieur Polytechnique de Bansoa (ISPB),Institut Supérieur Polytechnique de Bansoa (ISPB),MINESUP,DEFERRED_V2_SOURCE
MINESUP-E:Institut Supérieur Polytechnique les Armandins (ISPA),Institut Supérieur Polytechnique les Armandins (ISPA),MINESUP,DEFERRED_V2_SOURCE
MINESUP-E:Institut Supérieur Professeurs Réunis (ISPR),Institut Supérieur Professeurs Réunis (ISPR),MINESUP,DEFERRED_V2_SOURCE
MINESUP-E:Institut Supérieur Professionnel (ISP),Institut Supérieur Professionnel (ISP),MINESUP,DEFERRED_V2_SOURCE
MINESUP-E:Institut Supérieur Protestant des Sciences et de Technologie d’Elat,Institut Supérieur Protestant des Sciences et de Technologie d’Elat,MINESUP,DEFERRED_V2_DUPLICATE
MINESUP-E:Institut Supérieur Royal Baboutcha-Nintcheu (ISRB),Institut Supérieur Royal Baboutcha-Nintcheu (ISRB),MINESUP,DEFERRED_V2_SOURCE
MINESUP-E:Institut Supérieur Royal Deumaga (ISRD),Institut Supérieur Royal Deumaga (ISRD),MINESUP,DEFERRED_V2_SOURCE
MINESUP-E:Institut Supérieur Saint Jean-Paul II (ISJP),Institut Supérieur Saint Jean-Paul II (ISJP),MINESUP,DEFERRED_V2_DUPLICATE
MINESUP-E:Institut Supérieur Simon de Cyrène (ISSC),Institut Supérieur Simon de Cyrène (ISSC),MINESUP,DEFERRED_V2_SOURCE
MINESUP-E:Institut Supérieur Technologique,Institut Supérieur Technologique,MINESUP,DEFERRED_V2_DUPLICATE
MINESUP-E:Institut Supérieur Walya (WALYASUP),Institut Supérieur Walya (WALYASUP),MINESUP,DEFERRED_V2_DUPLICATE
MINESUP-E:Institut Supérieur Yérima DEWA (ISYD),Institut Supérieur Yérima DEWA (ISYD),MINESUP,DEFERRED_V2_DUPLICATE
MINESUP-E:Institut Supérieur de Bafang (ISB),Institut Supérieur de Bafang (ISB),MINESUP,DEFERRED_V2_SOURCE
MINESUP-E:Institut Supérieur de Bafoussam,Institut Supérieur de Bafoussam,MINESUP,DEFERRED_V2_SOURCE
MINESUP-E:Institut Supérieur de Banka-Bafang (ISB),Institut Supérieur de Banka-Bafang (ISB),MINESUP,DEFERRED_V2_SOURCE
MINESUP-E:Institut Supérieur de Chimie et de Gestion,Institut Supérieur de Chimie et de Gestion,MINESUP,DEFERRED_V2_DUPLICATE
MINESUP-E:Institut Supérieur de Commerce et de management,Institut Supérieur de Commerce et de management,MINESUP,DEFERRED_V2_DUPLICATE
MINESUP-E:Institut Supérieur de Commerce et d’Administration des Collectivités (ISCAC),Institut Supérieur de Commerce et d’Administration des Collectivités (ISCAC),MINESUP,DEFERRED_V2_DUPLICATE
MINESUP-E:Institut Supérieur de Comptabilité et Management (ISCM),Institut Supérieur de Comptabilité et Management (ISCM),MINESUP,DEFERRED_V2_DUPLICATE
"MINESUP-E:Institut Supérieur de Formation aux Métiers de Télécommunications, de l’Innovation Technologique, de Commerce et de Gestion (IFTIC-SUP)","Institut Supérieur de Formation aux Métiers de Télécommunications, de l’Innovation Technologique, de Commerce et de Gestion (IFTIC-SUP)",MINESUP,DEFERRED_V2_DUPLICATE
MINESUP-E:Institut Supérieur de Gestion (ISG),Institut Supérieur de Gestion (ISG),MINESUP,DEFERRED_V2_DUPLICATE
MINESUP-E:Institut Supérieur de Gestion et de Management (ISGEM),Institut Supérieur de Gestion et de Management (ISGEM),MINESUP,DEFERRED_V2_DUPLICATE
MINESUP-E:Institut Supérieur de Gestion et de Technologie (ISGET),Institut Supérieur de Gestion et de Technologie (ISGET),MINESUP,DEFERRED_V2_DUPLICATE
MINESUP-E:Institut Supérieur de Gestion et du Design (ISGD),Institut Supérieur de Gestion et du Design (ISGD),MINESUP,DEFERRED_V2_DUPLICATE
MINESUP-E:Institut Supérieur de Gestion et d’Economie Appliquée de Bafoussam (SUP GECO),Institut Supérieur de Gestion et d’Economie Appliquée de Bafoussam (SUP GECO),MINESUP,DEFERRED_V2_DUPLICATE
MINESUP-E:Institut Supérieur de Gestion et d’Hotellerie KELLA GAMO Sidonie (ISGH-KGS),Institut Supérieur de Gestion et d’Hotellerie KELLA GAMO Sidonie (ISGH-KGS),MINESUP,DEFERRED_V2_DUPLICATE
MINESUP-E:Institut Supérieur de Gestion et d’Hôtellerie (ISGHO),Institut Supérieur de Gestion et d’Hôtellerie (ISGHO),MINESUP,DEFERRED_V2_DUPLICATE
MINESUP-E:Institut Supérieur de Management (ISMA),Institut Supérieur de Management (ISMA),MINESUP,DEFERRED_V2_DUPLICATE
MINESUP-E:Institut Supérieur de Management International (ISMI),Institut Supérieur de Management International (ISMI),MINESUP,DEFERRED_V2_DUPLICATE
MINESUP-E:Institut Supérieur de Management de Manengouba (ISMAM),Institut Supérieur de Management de Manengouba (ISMAM),MINESUP,DEFERRED_V2_DUPLICATE
MINESUP-E:Institut Supérieur de Management et de Technologies Avancées (ISMT),Institut Supérieur de Management et de Technologies Avancées (ISMT),MINESUP,DEFERRED_V2_DUPLICATE
MINESUP-E:Institut Supérieur de Management et de l’Entrepreneuriat,Institut Supérieur de Management et de l’Entrepreneuriat,MINESUP,DEFERRED_V2_DUPLICATE
MINESUP-E:Institut Supérieur de Management et des Sciences Appliquées (ISMASA),Institut Supérieur de Management et des Sciences Appliquées (ISMASA),MINESUP,DEFERRED_V2_DUPLICATE
MINESUP-E:Institut Supérieur de Management et des Technologies Appliquées (ISMTA),Institut Supérieur de Management et des Technologies Appliquées (ISMTA),MINESUP,DEFERRED_V2_DUPLICATE
MINESUP-E:Institut Supérieur de Management et des Technologies Industrielles (ISMTI),Institut Supérieur de Management et des Technologies Industrielles (ISMTI),MINESUP,DEFERRED_V2_DUPLICATE
"MINESUP-E:Institut Supérieur de Pétrochimie, de l'Informatique et des Sciences Appliquées (ISPISA)","Institut Supérieur de Pétrochimie, de l'Informatique et des Sciences Appliquées (ISPISA)",MINESUP,DEFERRED_V2_DUPLICATE
MINESUP-E:Institut Supérieur de Technologie Appliquée et de Gestion (ISTAG).,Institut Supérieur de Technologie Appliquée et de Gestion (ISTAG).,MINESUP,DEFERRED_V2_DUPLICATE
MINESUP-E:Institut Supérieur de Technologie Avancée et du Management Douala (ISTAMA),Institut Supérieur de Technologie Avancée et du Management Douala (ISTAMA),MINESUP,DEFERRED_V2_DUPLICATE
MINESUP-E:Institut Supérieur de Technologie Médicale de Nkolodom,Institut Supérieur de Technologie Médicale de Nkolodom,MINESUP,DEFERRED_V2_DUPLICATE
MINESUP-E:Institut Supérieur de Technologie et de Gestion,Institut Supérieur de Technologie et de Gestion,MINESUP,DEFERRED_V2_DUPLICATE
MINESUP-E:Institut Supérieur de Technologie et de Gestion d’Afrique centrale (ISTG-AC),Institut Supérieur de Technologie et de Gestion d’Afrique centrale (ISTG-AC),MINESUP,DEFERRED_V2_DUPLICATE
MINESUP-E:Institut Supérieur de Technologie et de Management (ISTM),Institut Supérieur de Technologie et de Management (ISTM),MINESUP,DEFERRED_V2_DUPLICATE
MINESUP-E:Institut Supérieur de Technologie et d’Etudes Commerciales (ISTEC),Institut Supérieur de Technologie et d’Etudes Commerciales (ISTEC),MINESUP,DEFERRED_V2_DUPLICATE
MINESUP-E:Institut Supérieur de Technologie le Bon Berger,Institut Supérieur de Technologie le Bon Berger,MINESUP,DEFERRED_V2_DUPLICATE
"MINESUP-E:Institut Supérieur de Traduction, d’Interprétariat et de Communication (ISTIC)","Institut Supérieur de Traduction, d’Interprétariat et de Communication (ISTIC)",MINESUP,DEFERRED_V2_DUPLICATE
"MINESUP-E:Institut Supérieur de Transport, de Tourisme, des Affaires et de Management (ISTTAM)","Institut Supérieur de Transport, de Tourisme, des Affaires et de Management (ISTTAM)",MINESUP,DEFERRED_V2_DUPLICATE
MINESUP-E:Institut Supérieur de l’Entreprise et du Management (ISEM),Institut Supérieur de l’Entreprise et du Management (ISEM),MINESUP,DEFERRED_V2_DUPLICATE
"MINESUP-E:Institut Supérieur de l’Entreprise, du Management, de l’Industrie et des Technologies (ISEMIT)","Institut Supérieur de l’Entreprise, du Management, de l’Industrie et des Technologies (ISEMIT)",MINESUP,DEFERRED_V2_DUPLICATE
MINESUP-E:Institut Supérieur des Arts et des Métiers de Bafoussam (ISAMET),Institut Supérieur des Arts et des Métiers de Bafoussam (ISAMET),MINESUP,DEFERRED_V2_DUPLICATE
MINESUP-E:Institut Supérieur des Hautes Etudes Commerciales et Industrielles SIGMEN,Institut Supérieur des Hautes Etudes Commerciales et Industrielles SIGMEN,MINESUP,DEFERRED_V2_DUPLICATE
MINESUP-E:Institut Supérieur des Métiers de Gestion et Technologie (ISMEGET),Institut Supérieur des Métiers de Gestion et Technologie (ISMEGET),MINESUP,DEFERRED_V2_DUPLICATE
MINESUP-E:Institut Supérieur des Métiers de Technologies d'Afrique Centrale,Institut Supérieur des Métiers de Technologies d'Afrique Centrale,MINESUP,DEFERRED_V2_DUPLICATE
MINESUP-E:Institut Supérieur des Professions de Santé (ISPS),Institut Supérieur des Professions de Santé (ISPS),MINESUP,DEFERRED_V2_SOURCE
"MINESUP-E:Institut Supérieur des Sciences Agronomiques, de l’Environnement et de l’Entrepreneuriat Rural (ISSAEER)","Institut Supérieur des Sciences Agronomiques, de l’Environnement et de l’Entrepreneuriat Rural (ISSAEER)",MINESUP,DEFERRED_V2_DUPLICATE
MINESUP-E:Institut Supérieur des Sciences Appliquées au  Management (ISSAM-ESSAMA),Institut Supérieur des Sciences Appliquées au  Management (ISSAM-ESSAMA),MINESUP,DEFERRED_V2_DUPLICATE
MINESUP-E:Institut Supérieur des Sciences Appliquées à la Santé (INSSAS),Institut Supérieur des Sciences Appliquées à la Santé (INSSAS),MINESUP,DEFERRED_V2_DUPLICATE
MINESUP-E:Institut Supérieur des Sciences Biologiques et Appliquées (ISSBA),Institut Supérieur des Sciences Biologiques et Appliquées (ISSBA),MINESUP,DEFERRED_V2_DUPLICATE
MINESUP-E:Institut Supérieur des Sciences Sociales et Appliquées (I3SA),Institut Supérieur des Sciences Sociales et Appliquées (I3SA),MINESUP,DEFERRED_V2_DUPLICATE
MINESUP-E:Institut Supérieur des Sciences de la Santé « le Millenium »,Institut Supérieur des Sciences de la Santé « le Millenium »,MINESUP,DEFERRED_V2_DUPLICATE
MINESUP-E:Institut Supérieur des Sciences de la Santé  de Bangangté (ISSS),Institut Supérieur des Sciences de la Santé  de Bangangté (ISSS),MINESUP,DEFERRED_V2_DUPLICATE
MINESUP-E:Institut Supérieur des Sciences de l’Education (ISSED),Institut Supérieur des Sciences de l’Education (ISSED),MINESUP,DEFERRED_V2_DUPLICATE
MINESUP-E:Institut Supérieur des Sciences de l’Entreprise (ISSE),Institut Supérieur des Sciences de l’Entreprise (ISSE),MINESUP,DEFERRED_V2_DUPLICATE
MINESUP-E:Institut Supérieur des Sciences et Techniques de Yaoundé (ISSTY),Institut Supérieur des Sciences et Techniques de Yaoundé (ISSTY),MINESUP,DEFERRED_V2_DUPLICATE
MINESUP-E:Institut Supérieur des Sciences et Techniques de la Santé,Institut Supérieur des Sciences et Techniques de la Santé,MINESUP,DEFERRED_V2_DUPLICATE
MINESUP-E:Institut Supérieur des Sciences et Techniques de la Santé et de Management (ISSTSM),Institut Supérieur des Sciences et Techniques de la Santé et de Management (ISSTSM),MINESUP,DEFERRED_V2_DUPLICATE
MINESUP-E:Institut Supérieur des Sciences et Technologies NANFAH (ISSTN),Institut Supérieur des Sciences et Technologies NANFAH (ISSTN),MINESUP,DEFERRED_V2_DUPLICATE
MINESUP-E:Institut Supérieur des Sciences et Technologies de la Santé (ISSTS),Institut Supérieur des Sciences et Technologies de la Santé (ISSTS),MINESUP,DEFERRED_V2_DUPLICATE
MINESUP-E:Institut Supérieur des Sciences et Technologies la Sapience,Institut Supérieur des Sciences et Technologies la Sapience,MINESUP,DEFERRED_V2_DUPLICATE
MINESUP-E:Institut Supérieur des Sciences et de Management (I2SM),Institut Supérieur des Sciences et de Management (I2SM),MINESUP,DEFERRED_V2_DUPLICATE
MINESUP-E:Institut Supérieur des Sciences et de Technologie de Bangangté (ISST),Institut Supérieur des Sciences et de Technologie de Bangangté (ISST),MINESUP,DEFERRED_V2_DUPLICATE
MINESUP-E:Institut Supérieur des Sciences et des Energies Renouvelables (ISSER),Institut Supérieur des Sciences et des Energies Renouvelables (ISSER),MINESUP,DEFERRED_V2_DUPLICATE
MINESUP-E:Institut Supérieur des Sciences et des Technologies Sainte Maria,Institut Supérieur des Sciences et des Technologies Sainte Maria,MINESUP,DEFERRED_V2_DUPLICATE
"MINESUP-E:Institut Supérieur des Sciences, Arts et Métiers (ISSAM)","Institut Supérieur des Sciences, Arts et Métiers (ISSAM)",MINESUP,DEFERRED_V2_DUPLICATE
"MINESUP-E:Institut Supérieur des Sciences, de Technologie et de Commerce","Institut Supérieur des Sciences, de Technologie et de Commerce",MINESUP,DEFERRED_V2_DUPLICATE
"MINESUP-E:Institut Supérieur des Sciences, de Technologie, de Commerce et d’Agriculture (ISSTECOA)","Institut Supérieur des Sciences, de Technologie, de Commerce et d’Agriculture (ISSTECOA)",MINESUP,DEFERRED_V2_DUPLICATE
"MINESUP-E:Institut Supérieur des Sciences, de Technologie, de Management et Développement Durable (ISSTMADD)","Institut Supérieur des Sciences, de Technologie, de Management et Développement Durable (ISSTMADD)",MINESUP,DEFERRED_V2_DUPLICATE
MINESUP-E:Institut Supérieur des Techniques Appliquées et de Management,Institut Supérieur des Techniques Appliquées et de Management,MINESUP,DEFERRED_V2_DUPLICATE
MINESUP-E:Institut Supérieur des Techniques Industrielles et Commerciales,Institut Supérieur des Techniques Industrielles et Commerciales,MINESUP,DEFERRED_V2_DUPLICATE
MINESUP-E:Institut Supérieur des Technologies de l’Information et de la Communication,Institut Supérieur des Technologies de l’Information et de la Communication,MINESUP,DEFERRED_V2_DUPLICATE
"MINESUP-E:Institut Supérieur des Technologies, d’Agriculture et de Commerce (ISTACO)","Institut Supérieur des Technologies, d’Agriculture et de Commerce (ISTACO)",MINESUP,DEFERRED_V2_DUPLICATE
MINESUP-E:Institut Supérieur des métiers Notre Dame,Institut Supérieur des métiers Notre Dame,MINESUP,DEFERRED_V2_DUPLICATE
MINESUP-E:Institut Supérieur du Sahel pour le Développement Durable (ISSDD),Institut Supérieur du Sahel pour le Développement Durable (ISSDD),MINESUP,DEFERRED_V2_DUPLICATE
"MINESUP-E:Institut Supérieur du Tourisme, de l’Hôtellerie et des Arts Culinaires (ISTHAC)","Institut Supérieur du Tourisme, de l’Hôtellerie et des Arts Culinaires (ISTHAC)",MINESUP,DEFERRED_V2_DUPLICATE
MINESUP-E:Institut Supérieur d’Agriculture et de Gestion,Institut Supérieur d’Agriculture et de Gestion,MINESUP,DEFERRED_V2_DUPLICATE
MINESUP-E:Institut Supérieur d’Etudes Commerciales et de Management (ISECMA),Institut Supérieur d’Etudes Commerciales et de Management (ISECMA),MINESUP,DEFERRED_V2_DUPLICATE
"MINESUP-E:Institut Supérieur d’Etudes Scientifiques, Technologiques et Managériales (ISESTMA)","Institut Supérieur d’Etudes Scientifiques, Technologiques et Managériales (ISESTMA)",MINESUP,DEFERRED_V2_DUPLICATE
MINESUP-E:Institut Supérieure d’Informatique et de Commerce (ISICO),Institut Supérieure d’Informatique et de Commerce (ISICO),MINESUP,DEFERRED_V2_DUPLICATE
MINESUP-E:Institut Universitaire Agricole de Management des Métiers de la Production (IUAMMP),Institut Universitaire Agricole de Management des Métiers de la Production (IUAMMP),MINESUP,DEFERRED_V2_DUPLICATE
MINESUP-E:Institut Universitaire Catholique Sainte Thérèse de Yaoundé (INUCASTY),Institut Universitaire Catholique Sainte Thérèse de Yaoundé (INUCASTY),MINESUP,DEFERRED_V2_DUPLICATE
MINESUP-E:Institut Universitaire Catholique de Bertoua (IUCAB),Institut Universitaire Catholique de Bertoua (IUCAB),MINESUP,DEFERRED_V2_DUPLICATE
MINESUP-E:Institut Universitaire Catholique de Douala Saint Jérôme,Institut Universitaire Catholique de Douala Saint Jérôme,MINESUP,DEFERRED_V2_DUPLICATE
MINESUP-E:Institut Universitaire Evangélique du Cameroun,Institut Universitaire Evangélique du Cameroun,MINESUP,DEFERRED_V2_DUPLICATE
MINESUP-E:Institut Universitaire International,Institut Universitaire International,MINESUP,DEFERRED_V2_DUPLICATE
MINESUP-E:Institut Universitaire J. NDI SAMBA,Institut Universitaire J. NDI SAMBA,MINESUP,DEFERRED_V2_DUPLICATE
MINESUP-E:Institut Universitaire LA VISION,Institut Universitaire LA VISION,MINESUP,DEFERRED_V2_DUPLICATE
MINESUP-E:Institut Universitaire Louis Yinda (IULY),Institut Universitaire Louis Yinda (IULY),MINESUP,DEFERRED_V2_DUPLICATE
MINESUP-E:Institut Universitaire Privé Laïc de L’Equateur,Institut Universitaire Privé Laïc de L’Equateur,MINESUP,DEFERRED_V2_DUPLICATE
MINESUP-E:Institut Universitaire Protestant de Yaoundé,Institut Universitaire Protestant de Yaoundé,MINESUP,DEFERRED_V2_DUPLICATE
