staging_id,name_raw,region,programs,category_decision,category_evidence,classification
5f99f3be-fd64-4d9a-a8fd-709d9e4f0821,"ECOLE PRIVEE DE FORMATION DES PERSONNELS SANITAIRES ""SAINT JOSEPH"" DE BAFOUSSAM",Ouest,Analyses Médicales | Infirmiers,CATEGORY_REVIEW,"Aucun mot de niveau explicite dans le titre officiel. §13 interdit d'inférer 'supérieur' depuis 'institut' seul, et interdit d'inférer 'autres' depuis le seul fait d'être une formation santé — revue humaine requise avant toute promotion future.",DUPLICATE_REVIEW
0e0202b8-3175-4db9-890d-0294057239a1,ECOLE PRIVEE DE FORMATION DU PERSONNEL DE LA SANTE DE BAFOUSSAM,Ouest,Analyses Médicales | Infirmiers | Sages-femmes/Maïeuticiens,CATEGORY_REVIEW,"Aucun mot de niveau explicite dans le titre officiel. §13 interdit d'inférer 'supérieur' depuis 'institut' seul, et interdit d'inférer 'autres' depuis le seul fait d'être une formation santé — revue humaine requise avant toute promotion future.",CATEGORY_REVIEW
79370ccb-3f09-426f-bdc7-bc6ac9055345,ECOLE PRIVEE DES SCIENCES DE LA SANTE MENO DE BAMENA,Ouest,Sages-femmes/Maïeuticiens,CATEGORY_REVIEW,"Aucun mot de niveau explicite dans le titre officiel. §13 interdit d'inférer 'supérieur' depuis 'institut' seul, et interdit d'inférer 'autres' depuis le seul fait d'être une formation santé — revue humaine requise avant toute promotion future.",CATEGORY_REVIEW
2c29d228-e387-4db1-a855-7425c05e6a96,ECOLE PRIVEE FONDATION JEUGEUVOU FOWANG DE BAFOUSSAM,Ouest,Analyses Médicales | Infirmiers,CATEGORY_REVIEW,"Aucun mot de niveau explicite dans le titre officiel. §13 interdit d'inférer 'supérieur' depuis 'institut' seul, et interdit d'inférer 'autres' depuis le seul fait d'être une formation santé — revue humaine requise avant toute promotion future.",DUPLICATE_REVIEW
9c4b9a28-1aa2-4fc2-baa8-48d3919758f7,ECOLE PRIVEE FONDATION TCHUENTE DE BAFOUSSAM,Ouest,Infirmiers,CATEGORY_REVIEW,"Aucun mot de niveau explicite dans le titre officiel. §13 interdit d'inférer 'supérieur' depuis 'institut' seul, et interdit d'inférer 'autres' depuis le seul fait d'être une formation santé — revue humaine requise avant toute promotion future.",DUPLICATE_REVIEW
f56097c9-ac2a-4bae-95af-2838aed0033f,INSTITUT DES SCIENCES DE LA SANTE POOLA DE BAFOUSSAM,Ouest,Analyses Médicales | Infirmiers | Sages-femmes/Maïeuticiens,CATEGORY_REVIEW,"Aucun mot de niveau explicite dans le titre officiel. §13 interdit d'inférer 'supérieur' depuis 'institut' seul, et interdit d'inférer 'autres' depuis le seul fait d'être une formation santé — revue humaine requise avant toute promotion future.",DUPLICATE_REVIEW
bbf4f625-3574-4bfa-b17a-278282b3bb6f,INSTITUT DES SCIENCES ET TECHNIQUES MEDICO-SANITAIRES DE BAFOUSSAM,Ouest,Analyses Médicales,CATEGORY_REVIEW,"Aucun mot de niveau explicite dans le titre officiel. §13 interdit d'inférer 'supérieur' depuis 'institut' seul, et interdit d'inférer 'autres' depuis le seul fait d'être une formation santé — revue humaine requise avant toute promotion future.",DUPLICATE_REVIEW
500e77b8-68a9-4e4f-8e0f-032890ff8520,INSTITUT DES SCIENCES MEDICO-SANITAIRES LES ARGUS DE BANDJOUN,Ouest,Odontostomatologie,CATEGORY_REVIEW,"Aucun mot de niveau explicite dans le titre officiel. §13 interdit d'inférer 'supérieur' depuis 'institut' seul, et interdit d'inférer 'autres' depuis le seul fait d'être une formation santé — revue humaine requise avant toute promotion future.",DUPLICATE_REVIEW
a2f1cf0b-520e-42b1-bb84-81a20f9de8a3,INSTITUT INTERNATIONAL DE FORMATION DE PERSONNELS PARAMEDICAUX IFOPP DE FOUMBOT,Ouest,Infirmiers,CATEGORY_REVIEW,"Aucun mot de niveau explicite dans le titre officiel. §13 interdit d'inférer 'supérieur' depuis 'institut' seul, et interdit d'inférer 'autres' depuis le seul fait d'être une formation santé — revue humaine requise avant toute promotion future.",CATEGORY_REVIEW
27a2a636-eced-4971-8f62-67d8d1028ab3,"INSTITUT TROPICAL DE FORMATION EN PLAIES CHRONIQUES ET EN SOINS INFIRMIERS ""MOULLEC"" DE BALEVENG",Ouest,Infirmiers,CATEGORY_REVIEW,"Aucun mot de niveau explicite dans le titre officiel. §13 interdit d'inférer 'supérieur' depuis 'institut' seul, et interdit d'inférer 'autres' depuis le seul fait d'être une formation santé — revue humaine requise avant toute promotion future.",CATEGORY_REVIEW
