institution_name,region_from_list,source_record_id,url_redacted_for_pii,fetched_at,http_status,creation_order_raw,opening_authorization_raw,provisional_combined_raw,status_change_raw,region_field,city_field,pii_present_in_source,confessional_heuristic
"Institut Supérieur d’Etudes Scientifiques, Technologiques et Managériales (ISESTMA)",Région du Centre,142db2a8af6b6bc5,false,2026-08-19T13:37:30.539Z,200,N°12/0666/MINESUP du 23 novembre 2012,N°13/0593/MINESUP du 02 décembre 2013,,,Centre,Nkoabang,true,false
Institut Supérieur de Génie Civil (ISGeC),Région du Centre,12f2696aaa6c4247,false,2026-08-19T13:37:31.662Z,200,N°22/01569/L/MINESUP/SG/DDES/SD-ESUP/SDA/LMN du 16 Mars 2022.,N°22/01569/L/MINESUP/SG/DDES/SD-ESUP/SDA/LMN du 16 Mars 2022.,,,Centre,,true,false
Institut Supérieur de Management et des Sciences Appliquées (ISMASA),Région du Centre,4d332f5709857e96,false,2026-08-19T13:37:32.678Z,200,,,,,,,false,false
"Institut Supérieur de Pétrochimie, de l'Informatique et des Sciences Appliquées (ISPISA)",Région du Centre,c321338aebeddebb,false,2026-08-19T13:37:33.799Z,200,,,,,Centre,Derrière Tradex Bastos et Ekabita-Medoum,true,false
Institut Supérieur de Technologie Médicale de Nkolodom,Région du Centre,04754d86648d5ef1,false,2026-08-19T13:37:35.486Z,200,N°05/0087/MINESUP du 07 septembre 2005,N°07/0130/MINESUP du 21 septembre 2007,,,Centre,Nkolondom,true,false
"Institut Supérieur des Sciences Agronomiques, de l’Environnement et de l’Entrepreneuriat Rural (ISSAEER)",Région du Centre,2ea550f4b04bee1a,false,2026-08-19T13:37:36.647Z,200,N°15/08051/L/MINESUP/SG/DDES/ESUP/SDA/AO du  10 septembre 2015,N°15/08051/L/MINESUP/SG/DDES/ESUP/SDA/AO du  10 septembre 2015,,,Centre,Obala,true,false
Institut Supérieur des Sciences de l’Entreprise (ISSE),Région du Centre,07a5e9a32803a6bb,false,2026-08-19T13:37:38.391Z,200,N°15/09872/L/MINESUP/SG/DDES/ESUP/SDA/OPC du 04 NOVEMBRE 2015,N°15/09872/L/MINESUP/SG/DDES/ESUP/SDA/OPC du 04 NOVEMBRE 2015,,,Centre,Bastos,true,false
Institut Supérieur des Techniques Agricoles d’Ombessa,Région du Centre,3c3fa4d07280ba5b,false,2026-08-19T13:37:39.527Z,200,N°11/0512/MINESUP du  05 octobre 2011,N°13/0592/MINESUP du 02 décembre 2013,,,Centre,Guintsing,true,false
Institut Supérieur Jimit (ISJ),Région du Centre,4672dfec313f7d18,false,2026-08-19T13:37:40.677Z,200,N°16-06587/MINESUP/SG/DDES/ESUP/SDA/OAGS du 28 juin 2016,N°16-06587/MINESUP/SG/DDES/ESUP/SDA/OAGS du 28 juin 2016,,,Centre,Ngoa-Ekelle,true,false
Institut Universitaire Agricole de Management des Métiers de la Production (IUAMMP),Région du Centre,588cd93624414a01,false,2026-08-19T13:37:41.824Z,200,N°13/0407/MINESUP/SG/DDES du 10 septembre 2013,N°13/01147/N/MINESUP/DDES/ESUP/SAC/NJE/ebm du 28 février 2013,,,Centre,"Ngousso, Ngoulmekong Petit Marché Fourgeole, Route Stade Olembé",true,false
"Laureats Higher Institute of Business, Administration and Technology Sciences (LAHIBATS)",Région du Centre,9cec799439dd40a6,false,2026-08-19T13:37:43.410Z,200,,,,,Centre,quartier Nkoabang Bititol non loin du super marché Dovv,true,false
Institut Supérieur d’Agronomie (ISA),Région de l’EST,8053,false,2026-08-19T13:37:44.111Z,200,15/0015/MINESUP/SG/DDES/ESUP du 28 Janvier 2015,16/0635/L/MINESUP/SG/DDES/ESUP du 17 JUIN 2016,,,EST,,true,false
Institut Universitaire Catholique de Bertoua (IUCAB),Région de l’EST,8051,false,2026-08-19T13:37:46.294Z,200,07/0140/MINESUP du 21 Septembre 2007,,,,EST,,true,true
Ecole Supérieure des Sciences Appliquées de Bertoua,Région de l’EST,8049,false,2026-08-19T13:37:47.909Z,200,,,,,Est,,true,false
Institut Supérieur des Techniques Appliquées et de Management,Région de l’Extrême de Nord,8037,false,2026-08-19T13:37:50.167Z,200,n°120361/MINESUP/SG/DDES/ESUP du 16 aout 2012,n° 11/0056/MINESUP/SG/DDES/ESUP du 12 Janvier 2011,,,Extrême Nord,,true,false
Impact Higher Institute of Leadership and International Development,Région de l’Extrême de Nord,8060,false,2026-08-19T13:37:51.384Z,200,,,,,Extrême nord,,true,false
Institut Universitaire de Technologie et des Sciences du Sahel (IUTESSA),Région de l’Extrême de Nord,550d8c238ee952ef,false,2026-08-19T13:37:52.540Z,200,,,,,Extrême Nord,quartier Mendeze au lieu-dit ancien Sonel,true,false
Access Higher Institute of Professional Studies (Access-HIPS),Région du Littoral,7834,false,2026-08-19T13:37:53.194Z,200,N°15/02237/L/ MINESUP/SG/DDES/ESUP/SSIPES/OAGS du 16 mars 2015.,N°15/02237/L/ MINESUP/SG/DDES/ESUP/SSIPES/OAGS du 16 mars 2015.,,,Littoral,Bonapriso-rue Njonjo,true,false
Douala Higher Institute of Technology (DIT),Région du Littoral,7840,false,2026-08-19T13:37:54.264Z,200,,,,,Littoral,"Makepe, Carrefour Rhone Poulenc",true,false
Ecole Supérieure des Sciences et Techniques (ESSET),Région du Littoral,7848,false,2026-08-19T13:37:56.260Z,200,N°02/0052/MINESUP du 12 juin 2002,"N° 02/0061/MINESUP du 16 juillet 2002, complété par l’arrêté N°11/0051/MINESUP du 12 janvier 2011.",,,Littoral,Douala Ndogbong,true,false
Higher Institute of Business,Région du Littoral,7854,false,2026-08-19T13:37:57.257Z,200,"N°07/0015/MINESUP du 20 février 2007, complété par l’arrêté N°08/0039/MINESUP du 17 décembre 2008",N°12/0400/MINESUP du 17 août 2012,,,Littoral,Ndogbong,true,false
Institut panafricain pour le Développement (IPD),Région du Littoral,7860,false,2026-08-19T13:37:58.307Z,200,N°17-08838/L/MINESUP/SG/DDES/ESUP/OPC du 31 août 2017,N°17-08838/L/MINESUP/SG/DDES/ESUP/OPC du 31 août 2017,,,Littoral,,true,false
Institut Supérieur d’Informatique et de la Communication (ISICOM),Région du Littoral,7866,false,2026-08-19T13:37:59.765Z,200,N°11/0030/MINESUP  du,N°11/0049/MINESUP du 12 janvier 2011,,,Littoral,Logbessou,true,false
Institut Supérieur de Commerce et de management,Région du Littoral,7872,false,2026-08-19T13:38:02.092Z,200,N°11/0531/MINESUP du 05 octobre 2011,N°12/0392/MINESUP/ du 17 août 2012,,,Littoral,Bonapriso,true,false
Institut Supérieur de Gestion et de Technologie (ISGET),Région du Littoral,7880,false,2026-08-19T13:38:03.029Z,200,N°06/0118/MINESUP du 02 octobre 2006.,N°07/0011/MINESUP du 26 février  2007,,,Littoral,Deido,true,false
Institut Supérieur de Management (ISMA),Région du Littoral,7888,false,2026-08-19T13:38:04.088Z,200,N°02/0054/MINESUP du 12 juin 2002,N°02/0060/MINESUP du 16 juillet 2002,,,Littoral,"Akwa, Collège Liberman et Bali",true,false
Institut Supérieur de Psychopédagogie Appliquée (ISPPA),Région du Littoral,7894,false,2026-08-19T13:38:05.166Z,200,N°14/0034/MINESUP/SG/DDES du 11 mars 2014,Provisoire N°13/07893/L/MINESUP/SG/DDES/ESUP/OAGS du 18 novembre 2013,,,Littoral,Bonamoussadi,true,false
Institut Supérieur de Technologie et de Management (ISTM),Région du Littoral,7903,false,2026-08-19T13:38:06.247Z,200,N°05/0006/MINESUP du 03 janvier 2005,N°05/0090/MINESUP du 07 septembre 2005,,,Littoral,Bonabéri,true,false
Institut Supérieur des Hautes Etudes Commerciales et Industrielles SIGMEN,Région du Littoral,7911,false,2026-08-19T13:38:08.784Z,200,N°13/0405/MINESUP/SG/DDES du 10 septembre 2013,N°14/0403/MINESUP/SG/DDES/ du 04 juillet 2014,,,Littoral,5,true,false
Institut Supérieur des Sciences Appliquées au  Management (ISSAM-ESSAMA),Région du Littoral,7915,false,2026-08-19T13:38:10.377Z,200,N°02/0197/MINESUP/DDES/ESUP du 18 septembre 2002,N° 05/0040/MINESUP du 12 janvier 2005.,,,Littoral,Beedi à côté de l’Hôpital Général,true,false
Institut Supérieur du Génie Thermique et Énergétique,Région du Littoral,7923,false,2026-08-19T13:38:11.908Z,200,N°08/0099/MINESUP du 05 mai 2008,N°13/0594/MINESUP du 02 décembre 2013,,,Littoral,Ndogbong,true,false
Institut Supérieur Lumière,Région du Littoral,7931,false,2026-08-19T13:38:13.520Z,200,N°08/0268/MINESUP  du 03 octobre 2008,N°12/0361/MINESUP du 17 août 2012,,,Littoral,Ndokotti,true,false
Institut Universitaire Catholique de Douala Saint Jérôme,Région du Littoral,7939,false,2026-08-19T13:38:16.139Z,200,N°12/0364/MINESUP du 16 août 2012,N°14/0389/MINESUP/SG/DDES/ du 04 juillet 2014,,,Littoral,Akwa,true,true
Institut Universitaire Louis Yinda (IULY),Région du Littoral,7947,false,2026-08-19T13:38:17.653Z,200,N°14/0035/MINESUP/SG/DDES du 11 mars 2014,Provisoire N°13/07485/MINESUP/SG/DDES/ESUP/OAGS/ebm du 24 octobre 2013,,,Littoral,Pouma,true,false
Panafrican Institute of Strategy and Technology (PIST),Région du Littoral,7949,false,2026-08-19T13:38:19.161Z,200,N°17-08805/L/MINESUP/SG/DDES/ESUP/SDA/GA du 28 août 2017,N°17-08805/L/MINESUP/SG/DDES/ESUP/SDA/GA du 28 août 2017,,,Littoral,Douala,true,false
The Vaal Institute of Technology (VIT),Région du Littoral,7953,false,2026-08-19T13:38:20.635Z,200,N°17-09388/L/MINESUP/SG/DDES/ESUP/SDA/OPC du 19 septembre 2017,N°17-09388/L/MINESUP/SG/DDES/ESUP/SDA/OPC du 19 septembre 2017,,,Littoral,Makepe à côté de l’Hôpital Général,true,false
STALWART HIGHER INSTITUTE (SHI),Région du Littoral,18104f99ff781e52,false,2026-08-19T13:38:21.789Z,200,N°2705/MINFI/MINESUP du 17 Novembre 2015.,N°2705/MINFI/MINESUP du 17 Novembre 2015.,,,Littoral,feu rouge Bessengue,true,false
Acces Care Institute (ACI),Région Nord-Ouest,1650d0a5e6e5c04f,false,2026-08-19T13:38:23.501Z,200,,,,,North West,Nkwen,true,false
Baptist Institute of Higher Learning,Région Nord-Ouest,7811,false,2026-08-19T13:38:26.641Z,200,19-043372/L/MINESUP/SG/DDES/ESUP/SDA/OAGS du 12 avril 2019,19-043372/L/MINESUP/SG/DDES/ESUP/SDA/OAGS du 12 avril 2019,,,Nord-Ouest,Bamenda,false,true
Central Higher Institute (CHI),Région Nord-Ouest,7825,false,2026-08-19T13:38:32.426Z,200,N°16-10075/L/MINESUP/SG/DDES/ESUP/SDA/OASB du 05 septembre 2016,N°16-10075/L/MINESUP/SG/DDES/ESUP/SDA/OASB du 05 septembre 2016,,,Nord-Ouest,Bamenda,true,false
Experiental Higher Institute of Science and Technology (EXHIST),Région Nord-Ouest,55d1722ba0a5d166,false,2026-08-19T13:38:33.549Z,200,,,,,CENTRE/ NORTH WEST(Annexe),"Entre collège Ebanda, Biyem-Assi, Yaoundé / Below Linguistic Centre, Old Town Bamenda (Annexe)",true,false
Higher Institute for Business and management Sciences,Région Nord-Ouest,7791,false,2026-08-19T13:38:34.203Z,200,N°06/0050/MINESUP du 02 juin 2006,N°12/0393/MINESUP du 17 août 2012,,,Nord-Ouest,Bamenda (Mbatu),true,false
International University of Bamenda,Région Nord-Ouest,7795,false,2026-08-19T13:38:37.292Z,200,N°11/00507/MINESUP/SG/DDES du,N°12/0363/MINESUP du 17 août 2012,,,Nord-ouest,Kumbo,true,false
"National Higher Institute of Business, Tourism and Hotel Management (NAHIBUTH)",Région Nord-Ouest,7829,false,2026-08-19T13:38:38.803Z,200,N°17-07437/L/MINESUP/SG/DDES/ESUP/SDA/OAGS du 12 juillet 2017,N°17-07437/L/MINESUP/SG/DDES/ESUP/SDA/OAGS du 12 juillet 2017,,,Nord-Ouest,Bamenda,true,false
Pauls’s Computer Higher Institute of Technology (PC-HITECH),Région Nord-Ouest,7801,false,2026-08-19T13:38:39.911Z,200,N°15/00760/MINESUP/SG/DDES/ESUP/SDA/NJN du 30 janvier 2015,N°15/00760/MINESUP/SG/DDES/ESUP/SDA/NJN du 30 janvier 2015,,,Nord-Ouest,,true,false
ST Jude’s Higher Institute of Nursing and Biomedical,Région Nord-Ouest,7807,false,2026-08-19T13:38:41.035Z,200,N°07/0135/MINESUP du 21 septembre 2007,N°07/0144/MINESUP du 21 septembre 2007,,,Nord-Ouest,,true,false
Saint Laurence Higher Institute (SLHI),Région Nord-Ouest,da9d9fc0e93126d2,false,2026-08-19T13:38:42.141Z,200,N°1708245/L/MINESUP/SG/DDES/ESUP/SDA/DAGS du 09 Août 2017,N°2107/MINESUP/SG/DDES/ESUP/SDA/… du 02 décembre 2021,,,NORD-OUEST,BAMENDA/NDOP,false,false
Groupe Tankou Enseignement Supérieur (GTES),Région de l’Ouest,2d1f11c37ddfd721,false,2026-08-19T13:38:43.030Z,200,N°02/0050/MINESUP du 12 juin  2002.,N°02 / 0064 / MINESUP du 16 juillet 2002.,,,Ouest,Mairie rurale,true,false
Institut d’Enseignement Supérieur Foyaguem (IESF),Région de l’Ouest,946886da0b8831df,false,2026-08-19T13:38:46.033Z,200,N°15/08927/L/MINESUP/SG/DDES/ESUP/SDA/AEO du  18 septembre 2015.,N°15/08927/L/MINESUP/SG/DDES/ESUP/SDA/AEO du  18 septembre 2015,,,Ouest,Keleng,true,false
Institut Supérieur des Sciences Appliquées à la Santé (INSSAS),Région de l’Ouest,02bbd59acc229ec8,false,2026-08-19T13:38:48.388Z,200,N°12/0664/MINESUP du  23 novembre 2012,,,,,,true,false
Access Higher Institute of Professional Studies (Access-HIPS),Région du Sud-ouest,8070,false,2026-08-19T13:38:49.887Z,200,N°15/02237/L/ MINESUP/SG/DDES/ESUP/SSIPES/OAGS du 16 mars 2015.,N°15/02237/L/ MINESUP/SG/DDES/ESUP/SSIPES/OAGS du 16 mars 2015,,,Sud-Ouest,,true,false
Buea Polytechnic,Région du Sud-ouest,8117,false,2026-08-19T13:38:51.534Z,200,N°17-07461/N/MINESUP/SG/DDES/ESUP/SDA/NJN/ebm du 12 juin 2017,N°17-07461/N/MINESUP/SG/DDES/ESUP/SDA/NJN/ebm du 12 juin 2017,,,Sud-Ouest,Buea,true,false
Chartered Higher Institute of Cameroon (CHIC),Région du Sud-ouest,8119,false,2026-08-19T13:38:52.689Z,200,N°16-0834/MINESUP/SG/DDES/ESUP du 14 septembre 2016,N°17-03857/L/MINESUP/SG/DDES/ESUP/SDA/OAGS du 25 avril 2017,,,Sud-Ouest,Muea,true,false
Ejed Higher Institute of Management and Biomedical Sciences (EHIMBS),Région du Sud-ouest,8123,false,2026-08-19T13:38:53.668Z,200,N°16-06583/N/MINESUP/SG/DDES/ESUP/SDA/NJN/ebm du 28 juin 2016,N°16-06583/N/MINESUP/SG/DDES/ESUP/SDA/NJN/ebm du 28 juin 2016,,,Sud-Ouest,Kumba,true,false
"Gulf-Field Higher Institute of Petroleum, Mining, Business and Management Sciences (GFHIP)",Région du Sud-ouest,8127,false,2026-08-19T13:38:54.655Z,200,N°17-08249/L/MINESUP/SG/DDES/ESUP/SDA/OAGS du 09 août 2017,N°17-08249/L/MINESUP/SG/DDES/ESUP/SDA/OAGS du 09 août 2017,,,Sud-Ouest,Limbe,true,false
Higher Institute of Applied Medical Sciences Buea,Région du Sud-ouest,8085,false,2026-08-19T13:38:55.787Z,200,N°08/00097/MINESUP,N°08/0112/MINESUP du 05 mai 2008,,,Sud-Ouest,,true,false
ANDANGKENG Higher Institute of Professional Studies (AHIPS),Région du Sud-ouest,fbb7fc8bf970e8b8,false,2026-08-19T13:38:56.882Z,200,,,,,Sud-Ouest,,true,false
Horti-Florale Institute (HFI),Région du Sud-ouest,8129,false,2026-08-19T13:38:57.926Z,200,N°16-00962/L/MINESUP/SG/DDES/ESUP/SDA/NJN du 02 février 2016,N°16-00962/L/MINESUP/SG/DDES/ESUP/SDA/NJN du 02 février 2016,,,Sud-Ouest,Buea,true,false
ISEC Higher Institute of Health and Human Services,Région du Sud-ouest,8099,false,2026-08-19T13:38:59.750Z,200,N°15/0025/MINESUP/SG/DDES/ESUP du 28 janvier 2015,N°15/0138/MINESUP/SG/DDES du 02 avril 2015,,,Sud-Ouest,Limbe,true,false
Maflekumen Higher Institute of Health Sciences Buea,Région du Sud-ouest,8105,false,2026-08-19T13:39:00.832Z,200,N°08/0105/MINESUP du,N°08/0113/MINESUP du 05 mai 2008,,,Sud-Ouest,Tiko,true,false
Redemption Higher Institute of Biomedical and Management Sciences,Région du Sud-ouest,8107,false,2026-08-19T13:39:02.811Z,200,N°12/0648/MINESUP du 23 novembre 2012,N°13/0585/MINESUP du 02 décembre 2013,,,Sud-Ouest,Muyuka,true,false
Saint Mary's Higher Institution (SMHI),Région du Sud-ouest,108efe71cd1c0337,false,2026-08-19T13:39:05.530Z,200,,,,,Sud-Ouest,MUDEKA,true,false
