locality,education_family,count
SARKI YAYI,secondary_general,1
SASSA MBERSI,secondary_general,1
SEDEK,secondary_general,1
SERAWA,secondary_general,2
SINTE,secondary_general,1
Sir,secondary_general,1
SIRI N7,secondary_general,1
SOMIE,secondary_general,1
SOROMBEO,secondary_general,1
SOUEYE,secondary_general,1
SULTANAT POUSS,secondary_general,1
SUPERIEURE BAMEKA,secondary_general,1
TAGBOUM,secondary_general,1
TCHABAL MOUNGUEL,secondary_general,1
TCHAMBA,secondary_general,2
TCHATIBALI,secondary_general,1
TCHEBOA,secondary_general,1
TCHEKE,secondary_general,1
TCHEVI,secondary_general,1
TCHOUTSI,secondary_general,1
TCHOUVOUK,secondary_general,1
TEKELE,secondary_general,1
TELLO,secondary_general,1
TENJOUONOUN,secondary_general,1
THIOU,secondary_general,1
TIBATI,secondary_general,1
Tignre,secondary_general,1
TOKET,secondary_general,1
TOLKOMARI,secondary_general,1
TOTCHI,secondary_general,1
TOUBORO,secondary_general,1
TOULOUM,secondary_general,1
TOURNINGAL,secondary_general,1
TOUSSA,secondary_general,1
TOUTSANG,secondary_general,1
TRADITIONNELLE,secondary_general,1
VOGZOM,secondary_general,1
VOKO,secondary_general,1
VOUNALOUM,secondary_general,1
WALADE,secondary_general,1
Wandala,secondary_general,1
WASSANDE,secondary_general,1
WERFEO-WIBIWA,secondary_general,1
WIDIGUE,secondary_general,1
WINDE LIROMA,secondary_general,1
WOGOMDOU,secondary_general,1
WOUDATA,secondary_general,1
WOULKY,secondary_general,1
WOURO-HOURSO,secondary_general,1
WOURO-LABBO,secondary_general,1
Yagoua,secondary_general,1
YAGOUA,secondary_general,3
YAGOUA-VELE,secondary_general,1
YOLDEO,secondary_general,1
YOM,secondary_general,1
Youkout,secondary_general,1
ZAKLANG,secondary_general,1
ZANDABA 1,secondary_general,1
Zavion,secondary_general,1
Zehleved,secondary_general,1
ZINA,secondary_general,1
ZINTO,secondary_general,1
ZOKOK-LADDEO,secondary_general,1
ZOUAYE,secondary_general,1
ZOUELVA,secondary_general,1
